description,country,ADM1,ADM2,ADM3,ADM4,latitude,longitude,name,pcode,fips,iso_alpha2,iso_alpha3,iso_num,stanag,tld
IDP Camp,Syria,As Suwayda',As-Sweida,As-Sweida,Kherba,32.588,36.447,Kharaba Church East IDP Camp ,SY130000C6150,SY,SY,SYR,785,SYR,.sy
IDP Camp,Syria,As Suwayda',As-Sweida,As-Sweida,Kherba,32.583,36.439,Kharaba IDP Camp,SY130000C6150,SY,SY,SYR,786,SYR,.sy
IDP Camp,Syria,Damascus Countryside,Duma,Sabe Byar,Sabe Byar,32.857,37.82,Khashm al Ghardush IDP Camp,SY030202C2345,SY,SY,SYR,789,SYR,.sy
IDP Camp,Syria,Damascus Countryside,Duma,Sabe Byar,Sabe Byar,33.311,38.674,Ruqban Border Crossing IDP Camp,SY030202C2345,SY,SY,SYR,801,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Ash-Shajara,Ash-Shajara,32.775,35.886,Ash Shajarah IDP Camp 01,SY120003C6021,SY,SY,SYR,764,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Ash-Shajara,Ash-Shajara,32.777,35.883,Ash Shajarah IDP Camp 02,SY120003C6021,SY,SY,SYR,765,SYR,.sy
IDP Camp,Syria,Dar'a,Dar'a,Busra Esh-Sham,Tisiya,32.418,36.457,Tisiya IDP Camp,SY120001C6000,SY,SY,SYR,815,SYR,.sy
IDP Camp,Syria,Halab,Afrin,Afrin,Baselhaya,36.467,36.951,Basselhaya IDP Camp,SY020300C1371,SY,SY,SYR,771,SYR,.sy
IDP Camp,Syria,Halab,Afrin,Jandairis,Deir Ballut,36.323,36.661,Dayr Ballut Atimah IDP Camp,SY020302C1435,SY,SY,SYR,774,SYR,.sy
IDP Camp,Syria,Halab,Ain Al Arab,Ain Al Arab,Ain Al Arab,36.894,38.331,Kobane Ayn al Arab IDP Camp,SY020600C1946,SY,SY,SYR,792,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Salama,36.632,37.084,Azaz Border Crossing Refugee Camp,SY020400C1561,SY,SY,SYR,767,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Salama,36.623,37.092,Qassarjah Sudji IDP Camp,SY020400C1561,SY,SY,SYR,798,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.661,37.136,Shamarin IDP Camp North,SY020400C1566,SY,SY,SYR,806,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.653,37.128,Shamarin IDP Camp West,SY020400C1566,SY,SY,SYR,807,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.654,37.14,Sharmarin Camp,SY020400C1566,SY,SY,SYR,808,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,Suran,Zayzafun -Ekdeh,36.66,37.182,Ikadah IDP Camp,SY020405C1658,SY,SY,SYR,777,SYR,.sy
IDP Camp,Syria,Halab,Jarablus,Jarablus,Jarablus,36.824,38.012,Jarabulus IDP Camp,SY020800C2227,SY,SY,SYR,778,SYR,.sy
IDP Camp,Syria,Homs,Homs,Hasyaa,Hasyaa,34.404,36.764,Hisyah IDP Camp,SY040108C2675,SY,SY,SYR,776,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.654,37.14,Sharmarin Camp,SY020400C1566,SY,SY,SYR,808,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,Suran,Zayzafun -Ekdeh,36.66,37.182,Ikadah IDP Camp,SY020405C1658,SY,SY,SYR,777,SYR,.sy
IDP Camp,Syria,Halab,Jarablus,Jarablus,Jarablus,36.824,38.012,Jarabulus IDP Camp,SY020800C2227,SY,SY,SYR,778,SYR,.sy
IDP Camp,Syria,Homs,Homs,Hasyaa,Hasyaa,34.404,36.764,Hisyah IDP Camp,SY040108C2675,SY,SY,SYR,776,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,A'zaz,Shamarin,36.654,37.14,Sharmarin Camp,SY020400C1566,SY,SY,SYR,808,SYR,.sy
IDP Camp,Syria,Halab,A'zaz,Suran,Zayzafun -Ekdeh,36.66,37.182,Ikadah IDP Camp,SY020405C1658,SY,SY,SYR,777,SYR,.sy
IDP Camp,Syria,Halab,Jarablus,Jarablus,Jarablus,36.824,38.012,Jarabulus IDP Camp,SY020800C2227,SY,SY,SYR,778,SYR,.sy
IDP Camp,Syria,Homs,Homs,Hasyaa,Hasyaa,34.404,36.764,Hisyah IDP Camp,SY040108C2675,SY,SY,SYR,776,SYR,.sy

